       290149377 function calls (285317559 primitive calls) in 474.401 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1139    0.013    0.000    0.478    0.000 __init__.py:1665(log)
     1139    0.003    0.000    0.010    0.000 __init__.py:1674(isEnabledFor)
     1139    0.002    0.000    0.007    0.000 __init__.py:1688(getEffectiveLevel)
     1497    0.008    0.000    0.042    0.000 __init__.py:169(_downloaded)
       20    0.000    0.000    0.005    0.000 __init__.py:18(__init__)
     1748    0.006    0.000   19.155    0.011 __init__.py:183(finish_transferring)
     3027    0.008    0.000    0.049    0.000 __init__.py:1836(getLogger)
       13    0.000    0.000    0.000    0.000 __init__.py:187(public)
       31    0.001    0.000    0.001    0.000 __init__.py:1884(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:19(Slot)
     7406    0.063    0.000    1.114    0.000 __init__.py:19(__init__)
      115    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
       18    0.000    0.000    0.003    0.000 __init__.py:190(close)
       74    0.001    0.000    0.001    0.000 __init__.py:195(_slot_gc)
        1    0.000    0.000    0.000    0.000 __init__.py:2005(captureWarnings)
      100    0.000    0.000    0.012    0.000 __init__.py:205(getwithbase)
     1800    0.001    0.000    0.001    0.000 __init__.py:217(getpriority)
     3184    0.005    0.000    0.010    0.000 __init__.py:219(_acquireLock)
       64    0.000    0.000    0.000    0.000 __init__.py:22(__init__)
     3184    0.003    0.000    0.008    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.001    0.001 __init__.py:23(<module>)
       21    0.000    0.000   19.352    0.922 __init__.py:24(detect)
     1655    0.001    0.000    0.001    0.000 __init__.py:24(get_settings_priority)
     1655    0.004    0.000    0.012    0.000 __init__.py:244(set)
     3803    0.108    0.000    0.229    0.000 __init__.py:251(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:26(__init__)
  1756589    0.725    0.000    0.803    0.000 __init__.py:267(set_up_substitutions)
     4851    0.007    0.000    0.010    0.000 __init__.py:27(meta)
       21    0.000    0.000    0.001    0.000 __init__.py:272(setdict)
        3    0.000    0.000    0.002    0.001 __init__.py:275(setmodule)
     1144    0.008    0.000  212.893    0.186 __init__.py:285(_feed)
     1144    0.010    0.000    0.032    0.000 __init__.py:295(reset)
      439    0.002    0.000    0.012    0.000 __init__.py:297(update)
     1749    0.003    0.000    0.012    0.000 __init__.py:30(_get_handler)
       12    0.000    0.000    0.000    0.000 __init__.py:314(getVersionString)
  1755445    2.060    0.000    2.546    0.000 __init__.py:319(popTag)
  1756589    3.881    0.000    4.693    0.000 __init__.py:328(pushTag)
     7605    0.035    0.000    0.053    0.000 __init__.py:329(getMessage)
     4024    0.005    0.000    0.007    0.000 __init__.py:33(free_transfer_slots)
  3574643   14.390    0.000   40.175    0.000 __init__.py:337(endData)
     2097    0.000    0.000    0.000    0.000 __init__.py:340(_assert_mutability)
       21    0.000    0.000    0.108    0.005 __init__.py:344(copy)
     1139    0.010    0.000    0.046    0.000 __init__.py:35(logger)
       21    0.000    0.000    0.000    0.000 __init__.py:356(freeze)
        1    0.000    0.000    0.001    0.001 __init__.py:357(namedtuple)
     3497    0.012    0.000    0.022    0.000 __init__.py:36(download_delay)
        1    0.000    0.000    0.005    0.005 __init__.py:366(frozencopy)
